Url,Status,Title,Kind,Dates,Country,Location,Description,Image
https://www.eventalways.com/warsaw-motor-show,READY,WARSAW MOTOR SHOW,Exhibitions,14 Jun 2024 - 16 Jun 2024,Poland,"Ptak Warsaw Expo  62, Aleja Katowicka, Nadarzyn , Warsaw 05-830, Mazovia, Poland",International Auto Show in Poland,https://www.eventalways.com/media/eventbanner/large/undefined-banner-1703232223.jpg
https://www.eventalways.com/electronics-show,PARSED,ELECTRONICS SHOW,Exhibitions,21 Jun 2024 - 23 Jun 2024,Poland,"Ptak Warsaw Expo  62, Aleja Katowicka, Nadarzyn , Warsaw 05-830, Mazovia, Poland","International Trade Fair of Consumer Electronics is a place where leading companies providing hardware, technologies and services related to consumer electronics will be presented",https://www.eventalways.com/media/eventbanner/large/undefined-banner-1702278470.jpg
https://www.eventalways.com/eurobiotech,PARSED,EUROBIOTECH,Exhibitions,27 Jun 2024 - 28 Jun 2024,Poland,"Krakw  Krakw , Krakw 30, Lesser Poland Voivodeship, Poland",Central European Congress of Life Science,https://www.eventalways.com/media/eventbanner/large/undefined-banner-1701082838.jpg
https://www.eventalways.com/animal-days,PARSED,ANIMAL DAYS,Exhibitions,28 Jun 2024 - 30 Jun 2024,Poland,"Ptak Warsaw Expo  62, Aleja Katowicka, Nadarzyn , Warsaw 05-830, Mazovia, Poland","The largest event in Poland dedicated to accompanying animals. Pets, food, hygiene articles and accessories...",https://www.eventalways.com/media/eventbanner/large/undefined-banner-1704887570.jpg
https://www.eventalways.com/fair-katowice,PARSED,FAIR KATOWICE,Exhibitions,04 Sep 2024 - 06 Sep 2024,Poland,"Katowice International Fair  1B, Bytkowska, Katowice , Katowice 40-955, Silesian, Poland","International Fair of Mining, Power Industry and Metallurgy",https://www.eventalways.com/media/eventbanner/large/undefined-banner-1702449058.jpg
https://www.eventalways.com/certified-export-import-business-advance-training-in-surat,PARSED,Certified Export Import Business Advance Training in Surat,Workshops,45327,Poland,"Near Collector Office  Near Collector Office, Kharwawad, Nanpura, Surat, Surat , Surat 395001, Gujarat, India","Course Details -

1. Any Graduate MBA student willing to become an Exporter Importer.

2. Businessmen have their shop factory products or are willing to Export their Products.

3. Anyone willing to work in the Export-Import Industry, start their own business, or work as a Consultant.

4. Those who want to go abroad and gain specialized knowledge in such areas.

Program Schedule:- 1.5 Month

For more Details
Call On: +91 757 580 6926
Or
Visit: https://surat.iiiem.in/",https://www.eventalways.com/media/eventbanner/large/undefined-banner-1706006195.jpg
https://www.eventalways.com/certified-export-import-business-advance-training-in-ahmedabad,PARSED,Certified Export Import Business Advance Training in Ahmedabad,Workshops,45327,Poland,"Iscon Avenue  2HP6+4C5, Chimanlal Girdharlal Road, Mithakhali, Navrangpura, Ahmedabad, Ahmedabad , Ahmedabad 380009, Gujarat, India","Course Details -

1. Any Graduate MBA student willing to become an Exporter Importer.

2. Businessmen have their shop factory products or are willing to Export their Products.

3. Anyone willing to work in the Export-Import Industry, start their own business, or work as a Consultant.

4. Those who want to go abroad and gain specialized knowledge in such areas.

Program Schedule:- 1.5 Month

For more Details:-
Call On: +91 757 303 6066
Or
Visit:- https://ahmedabad.iiiem.in/",https://www.eventalways.com/media/eventbanner/large/undefined-banner-1706005352.jpg
https://www.eventalways.com/international-conference-on-economics-and-social-science1,PARSED,International Conference on Economics and Social Science,Conferences,05 Feb 2024 - 06 Feb 2024,Poland,"Baiyoke Boutique Hotel  120, 359, Soi Ratchaprarop 3, Khwaeng Thanon Phaya Thai, Khet Ratchathewi , Thailand 10400, Krung Thep Maha Nakhon, Thailand","International Conference on Economics and Social Science (ICESS) aimed at presenting current research being carried out in that area and scheduled to be held on 5th - 6th February, 2024 in Bangkok, Thailand . The idea of the conference is for the scientists, scholars, engineers and students from the Universities all around the world and the industry to present ongoing research activities, and hence to foster research relations between the Universities and the industry. This conference provides opportunities for the delegates to exchange new ideas and application experiences face to face, to establish business or research relations and to find global partners for future collaboration.",https://www.eventalways.com/media/eventbanner/large/undefined-banner-1704523213.jpg
https://www.eventalways.com/international-conference-on-food-and-agricultural-engineering,PARSED,International Conference on Food and Agricultural Engineering,Conferences,05 Feb 2024 - 06 Feb 2024,Poland,"Baiyoke Boutique Hotel  120, 359, Soi Ratchaprarop 3, Khwaeng Thanon Phaya Thai, Khet Ratchathewi , Thailand 10400, Krung Thep Maha Nakhon, Thailand","International Conference on Food and Agricultural Engineering (ICFAE) aimed at presenting current research being carried out in that area and scheduled to be held on 5th - 6th February, 2024 in Bangkok, Thailand . The idea of the conference is for the scientists, scholars, engineers and students from the Universities all around the world and the industry to present ongoing research activities, and hence to foster research relations between the Universities and the industry. This conference provides opportunities for the delegates to exchange new ideas and application experiences face to face, to establish business or research relations and to find global partners for future collaboration.",https://www.eventalways.com/media/eventbanner/large/undefined-banner-1704522917.jpg
https://www.eventalways.com/international-conference-on-tourism-transport-and-logistics1,PARSED,"International Conference on Tourism, Transport, and Logistics",Conferences,05 Feb 2024 - 06 Feb 2024,Poland,"Baiyoke Boutique Hotel  120, 359, Soi Ratchaprarop 3, Khwaeng Thanon Phaya Thai, Khet Ratchathewi , Thailand 10400, Krung Thep Maha Nakhon, Thailand","International Conference on Tourism, Transport, and Logistics (ICTTL) aimed at presenting current research being carried out in that area and scheduled to be held on 5th - 6th February, 2024 in Bangkok, Thailand . The idea of the conference is for the scientists, scholars, engineers and students from the Universities all around the world and the industry to present ongoing research activities, and hence to foster research relations between the Universities and the industry. This conference provides opportunities for the delegates to exchange new ideas and application experiences face to face, to establish business or research relations and to find global partners for future collaboration.",https://www.eventalways.com/media/eventbanner/large/undefined-banner-1704521252.jpg
https://www.eventalways.com/mayo-clinic-obgyn-clinical-and-surgical-updates-staying-current-and-ahead-of-the-curve-224,PARSED,Mayo Clinic OB/GYN Clinical and Surgical Updates: Staying Current and Ahead of the Curve 2024,Conferences,05 Feb 2024 - 08 Feb 2024,Poland,"Napa Valley Marriott Hotel and Spa  3425 Solano Ave. , Napa 94558, California, United States","Mayo Clinic's OB/GYN practice has more than a 30-year history of conducting innovative and transformational courses for providers in obstetrics, gynecology, family medicine, internal medicine, and women's health. We are pleased to offer our sixth annual enterprise-wide clinical and surgical OB/GYN course drawing leading experts from Mayo Clinic Arizona, Florida, Rochester, and Mayo Clinic Health System. Live and livestream options available.

**New for 2024, join for an extra day of programming on the role of coaching in medicine and surgery (additional information below)

Highlights encompassing all areas of OBGYN include practical talks, specifically:
-Contemporary management of obesity
-Preparing for cesarean hysterectomy and septic abortion
-Shared decision making in providing contemporary fibroid care beyond hysterectomy
-Adolescent abnormal uterine bleeding
-Evolving cervical cancer screening guidelines and the role of self-collection
-Isthmocele management
-Management of endometrial cancer and cancer survivorship
-Advanced maternal age and medical comorbidities in pregnancy
-Management of sexual dysfunction and pain

Hands-on laboratories including:
-Laparoscopic suturing
-Obstetric ultrasound case studies
-Pelvic pain and integrative health in general practice
-Gynecologic procedures and ultrasound
-Stump the audience, experts, and generative artificial intelligence
-ACOG endorsed Emergencies in Clinical Obstetrics (ECO) Simulation Course

Academy for Surgical Coaching:
Join the Academy for Surgical Coaching for a Surgical Coach Training Session for a face-to-face surgical coach training open to all surgeons, with a focus on coaching gynecologic surgeons. You will learn the mindset and skillset necessary to be a great surgical coach. Hands-on practice and interactive conversation guide the training. Going through the training will allow you to join the international A4SC roster and be able to coach through the Academy for an honorarium. The Surgical Coach Training Course will take place Sunday, February 4 and consists of a 6.5-hour, full-group session that involves a didactic component, interactive reflection, and small group breakouts to apply coaching skills. The registration fee for the coaching is $1,200 USD (this is separate from Mayo Clinic fee). Participants may receive 5.25 CME. See the website for more details.

This course is designed for practicing obstetricians, gynecologists, family practitioners, general internists, nurse midwives, nurse practitioners, physician assistants, nurses, residents, fellows and others who have an interest in women's healthcare.

URL:
Tickets: https://go.evvnt.com/2049978-0?pid=10018

Prices:
General Session - M.D., D.O., Ph.D.: USD 950.00,
General Session - Resident, Fellow, Nurse, NP, PA, Midwife Allied Health Professional: USD 850.00,
Workshop - Lap Suturing Workshop: USD 250.00,
Workshop - Gyn Procedures and Gyn Ultrasound: USD 250.00,
Workshop - OB Ultrasound Case Studies: USD 250.00,
Workshop - Pelvic Pain and Integrative Health: USD 350.00,
Workshop - Emergencies in Clinical Obstetrics: USD 500.00,
Workshop - Coaching and Career Development Speed Dating Dinner: USD 100.00",https://www.eventalways.com/media/eventbanner/large/undefined-banner-1699189585.jpg
https://www.eventalways.com/work-up-and-product-isolation,PARSED,WORK UP AND PRODUCT ISOLATION,Exhibitions,05 Feb 2024 - 06 Feb 2024,Poland,,"This is a online short course that will look at the importance of designing simple, practical reaction quenches, work-ups and product isolations. The course will be in two sections of 60-90 minutes held over two consecutive days as follow:

Monday, February 5 | 2.30pm – 5.00pm GMT – Session 1

Friday, February 6 | 2.30pm – 5.00pm GMT – Session 2

This short course will discuss the importance of designing simple, practical reaction quenches, work-ups and product isolations for a range of reaction and product types e.g. highly exothermic quenches, products with poor stability, removal of reagent by-products, consideration of impurities and meeting the needs of process intermediates as well as final products. The focus of this short course will be to design processes suitable for large scale operation and the importance of laboratory experimental design and execution to adequately model the large-scale process.

URLs:
Tickets: https://go.evvnt.com/2017502-0?pid=10018
Booking: https://go.evvnt.com/2017502-2?pid=10018
Inquiries: https://go.evvnt.com/2017502-3?pid=10018
Website: https://go.evvnt.com/2017502-4?pid=10018

Price:
General Admission: GBP 499.00",https://www.eventalways.com/media/eventbanner/large/undefined-banner-1697713322.jpg
https://www.eventalways.com/endocrine-update-224,PARSED,Endocrine Update 2024,Conferences,05 Feb 2024 - 09 Feb 2024,Poland,"Wyndham Grand Rio Mar Puerto Rico Golf and Beach Resort  6000 Boulevard Ro Mar , Ro Grande 00745, Ro Grande, Puerto Rico","Designed for endocrinologists and interested internists and surgeons, this course addresses gaps in medical knowledge and barriers in clinical practice to improve the outcomes of patients with endocrine and metabolic disorders. This program will consist of lecture, small group, panel discussion formats covering best practices, barriers to optimal patient outcomes and new approaches to the evaluation and management of complex and common endocrine disorders. In addition, this year's program will bring new delivery formats to the audience, including clinical debates and clinicopathological conferences.

Course Highlights:
- Updates on best practices and new approaches to the evaluation and management of complex and common endocrine disorders
- Interactive case-based presentations
- Small group breakout sessions and networking opportunities
- Dedicated time for questions and discussion
- Access to course recordings for one year

Additional details visit: ce.mayo.edu/endo2024

Tickets: https://go.evvnt.com/1911258-0?pid=10018

Prices:
Registration - M.D., D.O., Ph.D.: USD 1200.00,
Registration - Allied Health, NP, PA, Resident, Fellow, Retirees: USD 1000.00",https://www.eventalways.com/media/eventbanner/large/undefined-banner-1693202015.jpg
https://www.eventalways.com/capacity-middle-east-224,PARSED,Capacity Middle East 2024,Conferences,05 Feb 2024 - 08 Feb 2024,Poland,"Grand Hyatt Dubai  Near,,, , United Arab Emirates","Capacity Middle East is the region's leading meeting for digital infrastructure, connecting 2,600+ key ICT players from the Middle East and beyond, representing carrier, cloud, peering, hyperscale, content, finance, edge, software, equipment, data centre, and satellite industries.

#CapacityMiddleEast | #KeepingTheWorldConnected

URLs:
Tickets: https://go.evvnt.com/1836560-0?pid=10018
Website: https://go.evvnt.com/1836560-2?pid=10018

Price:
General Admission: USD 1295.00

Venue details: Grand Hyatt Dubai, Near Sheikh Rashid Rd, Dubai, United Arab Emirates",https://www.eventalways.com/media/eventbanner/large/undefined-banner-1695717610.jpg
https://www.eventalways.com/assertiveness-training-course-5th-february-224-impact-factory-london,PARSED,Assertiveness Training Course - 5th February 2024 - Impact Factory London,Conferences,45327,Poland,"Impact Factory | Professional Development | Training and Courses  52 Upper Street , London N1 0QH, England, United Kingdom","The original ""too nice for your own good"" assertiveness course.

The course focuses on making choices, including understanding that you have more choice than you think. 

It's a practical course which will help you feel more confident in your ability to deal with pushy people.

We look at how you can make easy changes in your behaviour so that you will no longer feel pressured into doing things you'd rather not.

The idea is to feel better about saying no without having to change who you are.

Course Objectives:

* Dealing with Feelings
* Setting Boundaries
* Giving Clear Messages
* Closing Conversations
* Increased Confidence
* Tools You Can Use
* Difficult People and Situations
* The Art of Saying No
* Moving Things Forward
* Managing Conflict

What Our Clients Say:

Consumer Council for Water - Assertiveness Training Course

""Being part of the assertiveness course was like a different world, one that I have since made sure I am actively living in. So thank you, I have recommended it to almost all friends and colleagues.""

Farah Hasson - Policy Support Officer - Consumer Council for Water

URLs:
Booking: https://go.evvnt.com/1673852-0?pid=10018
YouTube: https://go.evvnt.com/1673852-3?pid=10018
Website: https://go.evvnt.com/1673852-4?pid=10018
Twitter: https://go.evvnt.com/1673852-5?pid=10018
Facebook: https://go.evvnt.com/1673852-6?pid=10018
LinkedIn: https://go.evvnt.com/1673852-7?pid=10018
Inquiries: https://go.evvnt.com/1673852-8?pid=10018
Brochure: https://go.evvnt.com/1673852-9?pid=10018

Price:
One Day Course: GBP 550.00",https://www.eventalways.com/media/eventbanner/large/undefined-banner-1682169163.jpg
https://www.eventalways.com/imaging-update-in-costa-rica-feb-5-8-224,PARSED,"Imaging Update in Costa Rica- Feb. 5-8, 2024",Conferences,05 Feb 2024 - 08 Feb 2024,Poland,"JW Marriott Guanacaste Resort and Spa  Hacienda , Pinilla 50309, Provincia de Guanacaste, Costa Rica","At the conclusion of this activity, participants should be able to:

-Use contemporary imaging techniques and protocols to accurately diagnose, stage and manage diseases
-Outline MR protocols and techniques in musculoskeletal imaging for improved clinical diagnosis of diseases
-Describe the imaging anatomy and protocols that are necessary to arrive at a diagnosis of cardiac diseases
-Develop differential diagnosis that relates to the pertinent imaging and clinically relevant findings for each of the cases covered in this course
-Outline the fundamentals of the latest advanced techniques in MRI, CT, ultrasound, and interventional imaging including their current roles and limitations in clinical practice
-Integrate information presented in this course into efforts to improve the imaging skills of the participants

URLs:
Website: https://go.evvnt.com/1605797-0?pid=10018
Tickets: https://go.evvnt.com/1605797-2?pid=10018
Virtual: https://go.evvnt.com/1605797-3?pid=10018

Prices:
Practicing Physician/Industry: USD 1395.00,
Military/Retired: USD 1295.00,
PA/Nurse: USD 1195.00,
Resident/Fellow: USD 1095.00,
Technologist: USD 995.00

Speakers: Debra M. Ikeda, MD, FACR, FSBI, TBA, TBA, TBA",https://www.eventalways.com/media/eventbanner/large/undefined-banner-1679222282.jpg
https://www.eventalways.com/metro-show,PARSED,Metro Show,Exhibitions,05 Feb 2024 - 09 Feb 2024,Poland,"Vancouver  Vancouver , Vancouver, British Columbia, Canada","METRO is a business to business wholesale industry buying show held four times a year in Vancouver, British Columbia. If you are the Owner or Buyer of a retail store (physical storefront or online), this show is for you.",https://www.eventalways.com/media/eventbanner/large/undefined-banner-1638274134.jpg
